x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,
0.7462553382,0.7464750409,0.0000001536,0.720230937,0.7321071029,-0.0100164358,0.6954885125,0.7074274421,-0.0147666391,0.6784281135,0.6873916984,-0.0186309405,0.6639053822,0.6760798097,-0.022249097,0.7156404257,0.6570835114,-0.0074203098,0.7017731667,0.6223029494,-0.0144678792,0.6945857406,0.6006127,-0.0205826908,0.6895546317,0.5817676783,-0.0250716973,0.7323688865,0.6493013501,-0.0082818931,0.7292153239,0.6071277261,-0.0126619618,0.7281765938,0.582434833,-0.0164720193,0.7275601625,0.5621879697,-0.019475,0.7482517362,0.6509715915,-0.010865381,0.7473015785,0.6132180691,-0.0159171168,0.7470644712,0.5911200643,-0.0186264459,0.7463976145,0.5720282793,-0.0207427535,0.7632985115,0.6598383784,-0.0146389343,0.7675225735,0.6327258945,-0.0188164655,0.7704627514,0.6159667969,-0.019376982,0.7729498148,0.6003249288,-0.0197972022,open hand
0.6221341491,0.4554966688,0.0000001182,0.5983780622,0.4388321936,-0.0048238807,0.581142962,0.4169091284,-0.0058017429,0.5698831081,0.3987636268,-0.0074816872,0.5583456159,0.3889176548,-0.0093396585,0.6091738343,0.3790130019,0.0042451853,0.6050541401,0.3513437212,0.0024708349,0.6040611267,0.3344952464,-0.0007923588,0.6038956642,0.3208906651,-0.003506643,0.6260900497,0.3768567741,0.002167176,0.6320873499,0.3443721235,0.0024643405,0.6360300779,0.3252671361,0.0002942001,0.6398965716,0.3115563095,-0.001831338,0.6406750679,0.3817260265,-0.0016571666,0.6506098509,0.3547315598,-0.0035562711,0.6557221413,0.3393534422,-0.0061593144,0.6600422263,0.3266204,-0.0082483571,0.6528001428,0.3927173913,-0.0063696099,0.6657403111,0.3756114841,-0.0082919328,0.6730539799,0.3647641242,-0.0086431298,0.6795037985,0.355181843,-0.009014749,open hand
0.3481047451,0.4725839198,0.0000002238,0.3106375337,0.4820478559,-0.0090208659,0.2698686719,0.4778481722,-0.0127322273,0.2420978546,0.471671164,-0.016228972,0.222410515,0.4711687565,-0.019931186,0.2619992793,0.3983402848,-0.0053195739,0.2311115563,0.3686064482,-0.0128523102,0.2133073956,0.3493961692,-0.0198901314,0.1998384297,0.3319019675,-0.0254272074,0.2769483924,0.3740431964,-0.008937737,0.2518438995,0.325410068,-0.0142058013,0.237200588,0.2944695354,-0.0197485182,0.2266627401,0.2696375549,-0.0243102703,0.2957034707,0.3607362509,-0.014698402,0.2785692811,0.3133000731,-0.0216337033,0.2680383921,0.284075737,-0.0273279957,0.2591306567,0.2599360645,-0.0318762027,0.3168737888,0.3571931124,-0.0216153562,0.3105771244,0.3189839125,-0.0286812838,0.3060335219,0.2939305902,-0.0316899344,0.3014549017,0.2716904283,-0.0340701193,open hand
0.3058328331,0.7518923283,0.0000002141,0.2835482657,0.8027322888,-0.0132897627,0.2518616021,0.847795248,-0.01927297,0.2270151824,0.8802042007,-0.0247565676,0.21036008,0.9074965119,-0.0299112201,0.1964006871,0.7991176248,-0.0041396338,0.1560679078,0.8172720671,-0.0127562974,0.1328044385,0.8266923428,-0.0215900987,0.1125389263,0.8327413797,-0.028463902,0.1902418435,0.7636761665,-0.0064563318,0.143524617,0.7646711469,-0.0116818752,0.1150485054,0.7629843354,-0.0181297194,0.0923419073,0.7603337169,-0.0236258414,0.194696933,0.7312297821,-0.0117435502,0.1531335264,0.7218538523,-0.0185192879,0.128546536,0.7143287659,-0.0239868779,0.1075693667,0.7091128826,-0.0284906831,0.2069635391,0.7021435499,-0.0187771041,0.1781711876,0.6867985725,-0.0246952884,0.1598590761,0.6773500443,-0.0266340002,0.1430339217,0.669919312,-0.0284199119,open hand
0.5635695457,0.8111490011,0.0000003145,0.5281025767,0.8516302109,-0.0227323659,0.4848363698,0.8824048638,-0.0356835425,0.448885709,0.904199481,-0.0465935394,0.4195227027,0.9240416288,-0.0568845719,0.4400240183,0.8046748042,-0.0177425947,0.3911795616,0.8015136123,-0.03235792,0.3619469404,0.7979644537,-0.0445482507,0.3368920386,0.7914330363,-0.0535492972,0.4450239837,0.7643308043,-0.0179713052,0.3963775635,0.7387000918,-0.0290341862,0.3673578799,0.7217029333,-0.0382843614,0.3437443078,0.7057167292,-0.0453518555,0.4601147473,0.7326737642,-0.0217132121,0.4183937907,0.7008948922,-0.0339303054,0.3934251666,0.6819024682,-0.040616896,0.3709586263,0.6655555367,-0.0453452319,0.4820099771,0.7084764838,-0.0277861282,0.4535691738,0.6789020896,-0.0378128514,0.4354997873,0.6610205173,-0.0405364558,0.4178770483,0.6459623575,-0.042378366,open hand
0.2551947534,0.3141416609,0.0000001795,0.2172345668,0.3255933225,-0.0110459933,0.1777933091,0.3240353763,-0.0149943167,0.1477774382,0.318655014,-0.0183749683,0.1253269166,0.3203717172,-0.0213208869,0.1777959615,0.2593422234,-0.0026709235,0.1493694782,0.2380287051,-0.008634761,0.1324672103,0.2250148654,-0.0145076849,0.1185459122,0.2129348516,-0.0190790817,0.1930644214,0.2366140038,-0.0033819287,0.1701433957,0.202260673,-0.0065207686,0.157845363,0.181144774,-0.0105404593,0.1488838196,0.1633819193,-0.0138370655,0.2122345418,0.2231934518,-0.0063460162,0.1961416751,0.1904957891,-0.0116736032,0.1879138052,0.1719806939,-0.014693399,0.181260556,0.1561640799,-0.0167511236,0.2339359224,0.217146486,-0.0106295384,0.2274667621,0.1898548007,-0.0150796324,0.2240457386,0.1734088659,-0.0154336635,0.2212397307,0.1584238857,-0.015495142,open hand
0.9327091575,0.9159124494,0.0000003557,0.8695783019,0.8836368322,-0.0221721046,0.8142929673,0.8266283274,-0.0314325877,0.7796643972,0.7714146972,-0.0391112156,0.7497297525,0.729757309,-0.0462179147,0.8549925685,0.7159244418,-0.0112818806,0.8311223388,0.6375175118,-0.025373511,0.8184384108,0.5898280144,-0.0386450477,0.8093746305,0.5461773276,-0.0492018573,0.895813942,0.6993287802,-0.0140919918,0.8896172643,0.6081641316,-0.0238452014,0.8898800015,0.5524283051,-0.0346261561,0.8909908533,0.5043520927,-0.0436871722,0.9341318607,0.7037524581,-0.0210704096,0.9349070787,0.62112993,-0.0347224176,0.9390597343,0.5714153647,-0.0433819965,0.9419233799,0.5272453427,-0.0499023609,0.9704560637,0.7231080532,-0.0304013118,0.9795889258,0.6609733105,-0.0428522304,0.9885415435,0.6236701608,-0.0460708253,0.9958523512,0.5885597467,-0.0484132133,open hand
0.8996136785,0.4265537262,0.0000003733,0.85372895,0.4003795981,-0.0289519075,0.8129628301,0.3527600467,-0.0427973866,0.7871930599,0.3048681021,-0.0531540103,0.7639424205,0.2673179805,-0.0624116398,0.8504039049,0.2555345893,-0.0229255166,0.831616044,0.1854104102,-0.038967289,0.8214889169,0.1425103098,-0.0527565703,0.8148388863,0.102764532,-0.0630694032,0.8825683594,0.2415633798,-0.0208523627,0.8860172629,0.1607408524,-0.0322858132,0.8896602988,0.1114051342,-0.0427919813,0.8930444717,0.0684678704,-0.0510986596,0.9104768038,0.2463836074,-0.0227274932,0.917250216,0.1759995818,-0.0360936075,0.9222063422,0.1333494335,-0.0448439345,0.9257009029,0.0950209945,-0.0512589663,0.9354984164,0.2648706734,-0.0275062434,0.9480413795,0.2172638476,-0.0398096591,0.9580436945,0.1873442084,-0.0442686044,0.9672117829,0.1586538851,-0.0472485609,open hand
0.2475821376,0.3893564343,0.0000002607,0.1906471252,0.4044095278,-0.0121409148,0.1343553811,0.3877054453,-0.0149265835,0.0978202969,0.3658106327,-0.0181347132,0.0696876869,0.3527608812,-0.0212965459,0.1366402805,0.2583189905,0.0038864475,0.1010047197,0.2108545154,-0.0024356921,0.0813962594,0.1816107035,-0.011546785,0.0661691278,0.1552544236,-0.0194546431,0.1616203934,0.2221917212,-0.0014522074,0.1332443208,0.1473898441,-0.0040671644,0.1165927947,0.0997408181,-0.0102385283,0.105972454,0.0645496845,-0.0163271241,0.1906470954,0.2042344064,-0.0108030476,0.174737975,0.130535394,-0.0172154829,0.1641795933,0.0852416456,-0.0245089754,0.1545586437,0.0482473671,-0.0310809482,0.2223936766,0.2011909485,-0.0222670045,0.2198431641,0.1409712136,-0.030453654,0.2147727907,0.1026106924,-0.0346706249,0.2076245099,0.0695815533,-0.0384886488,open hand
0.8218509555,0.8321045637,0.0000005653,0.7235584259,0.7816041112,-0.0312203765,0.6425380707,0.6760423183,-0.0457999855,0.5975843668,0.5862944722,-0.0587696545,0.5529498458,0.5270248652,-0.0721460804,0.7115504742,0.500690043,-0.0223405082,0.6768423319,0.3752331734,-0.0457494669,0.6589494348,0.2986849248,-0.0668594092,0.6483466625,0.2277173698,-0.0841013566,0.7797641158,0.4781950712,-0.0317246839,0.7808195353,0.3234809637,-0.0493735857,0.7866776586,0.2277591527,-0.0680676624,0.7936042547,0.1464783847,-0.0836499482,0.8413923979,0.491056174,-0.0469119586,0.851482749,0.3506345153,-0.0704267025,0.8606814146,0.2616431713,-0.0869331732,0.8670899868,0.1802381575,-0.0998957232,0.8974320889,0.5295720696,-0.0653258711,0.9156661034,0.4238220155,-0.0877737477,0.9284877777,0.3530284166,-0.0954573154,0.938236475,0.2839078307,-0.1016130149,open hand
