pose_id,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,
0,0.25053823,0.79135382,0.00000073,0.30771923,0.71871096,-0.04011944,0.3536765,0.6256718,-0.06352255,0.3964093,0.5627777,-0.08442671,0.43975228,0.52935576,-0.10621675,0.28421071,0.47175404,-0.04597346,0.29735151,0.34120962,-0.07518383,0.3030495,0.25478339,-0.09861221,0.30497366,0.17292297,-0.11621081,0.23556656,0.46756822,-0.04703601,0.22848745,0.32497579,-0.07282091,0.21995044,0.23042928,-0.09444814,0.2098964,0.14220941,-0.11090215,0.19278345,0.4981983,-0.05222426,0.17219891,0.37039497,-0.0783489,0.15706804,0.28326041,-0.0977998,0.14256962,0.20135675,-0.11093831,0.15424028,0.55598742,-0.06107525,0.11983912,0.46442217,-0.08550849,0.09662288,0.40134135,-0.09796348,0.07588794,0.33350772,-0.10598579,open-hand
1,0.26637751,0.77672511,0.00000073,0.32473794,0.70539689,-0.03770208,0.37149444,0.61180091,-0.06040682,0.41495472,0.55180103,-0.08096842,0.45840195,0.5192247,-0.1025982,0.30207667,0.45558485,-0.04541456,0.31738755,0.32507566,-0.07402097,0.32445827,0.23953398,-0.09642691,0.32861865,0.15967794,-0.11312398,0.25369978,0.45140204,-0.04723777,0.24683088,0.3093836,-0.0724546,0.23999661,0.21468256,-0.09333542,0.23109487,0.12789857,-0.10929952,0.21058244,0.4818444,-0.05285911,0.19092545,0.35294014,-0.07836065,0.17674276,0.26633951,-0.09794894,0.16295294,0.18533747,-0.11122721,0.17163524,0.53919566,-0.0618677,0.13893093,0.44692907,-0.08606327,0.11643686,0.38406041,-0.09866968,0.09595738,0.31749126,-0.10680508,open-hand
2,0.35073149,0.68783969,0.00000073,0.41807112,0.6200819,-0.03489454,0.47546718,0.52479208,-0.05631997,0.52864021,0.47054532,-0.0764637,0.57742923,0.44974992,-0.09860557,0.40985641,0.35441265,-0.04434042,0.43134463,0.22007543,-0.0740904,0.44334537,0.13039592,-0.09762656,0.4533338,0.04855315,-0.11515841,0.35869512,0.34489748,-0.04847755,0.35763559,0.19310044,-0.07444257,0.35779157,0.08864308,-0.09650575,0.35588092,-0.0058035,-0.11379948,0.31202358,0.37190986,-0.05626533,0.29788509,0.23088922,-0.08225887,0.28943318,0.13479564,-0.10321767,0.28230128,0.04706785,-0.11778048,0.2691164,0.42766982,-0.06735888,0.23822811,0.32281974,-0.09269923,0.21821421,0.249414,-0.10659409,0.20179287,0.17412651,-0.11579677,open-hand
3,0.44866055,0.70670974,0.00000066,0.52984023,0.65550405,-0.03858388,0.60029894,0.56901687,-0.06380194,0.65771461,0.52066785,-0.08790334,0.70987433,0.50282067,-0.11514428,0.53694826,0.37889263,-0.05557432,0.5619719,0.23706023,-0.09308932,0.58085322,0.14209868,-0.12197137,0.59796083,0.05409281,-0.1435422,0.48266599,0.36187351,-0.06269324,0.48659629,0.19701125,-0.09693533,0.49221405,0.09074496,-0.12471936,0.49620479,-0.00570738,-0.14636433,0.4307403,0.38575432,-0.07358177,0.42380026,0.23505417,-0.10769684,0.42186069,0.12530863,-0.13302377,0.42075884,0.02308589,-0.15117912,0.38167599,0.4403249,-0.08775599,0.35664597,0.32447776,-0.11994928,0.34018269,0.24046689,-0.1370704,0.32691133,0.1545119,-0.1492455,open-hand
4,0.52198529,0.75059223,0.00000062,0.60947108,0.71323967,-0.02898728,0.68597758,0.63654923,-0.04939382,0.74770105,0.59765065,-0.07013987,0.80128562,0.58527333,-0.09365068,0.63482368,0.44459984,-0.04390684,0.6691435,0.30814034,-0.07707266,0.69239205,0.22139098,-0.10221809,0.7134316,0.14335895,-0.12064622,0.58409822,0.42320392,-0.05391691,0.60105956,0.25755221,-0.08420592,0.61618954,0.14670983,-0.1092593,0.62801814,0.04573309,-0.12847954,0.53400069,0.44131246,-0.06703765,0.53855574,0.28817379,-0.0968731,0.5450902,0.18227792,-0.11958416,0.55182546,0.08601505,-0.13552816,0.48614568,0.4888047,-0.08266268,0.46759814,0.37172309,-0.11127878,0.45750618,0.28589532,-0.12608768,0.45044374,0.20132691,-0.13615891,open-hand
5,0.58043212,0.7871905,0.00000066,0.67249364,0.75599509,-0.03271005,0.7517035,0.68681461,-0.05768439,0.81721491,0.65355945,-0.08268538,0.87529516,0.64033288,-0.11102787,0.70928401,0.4848069,-0.05521223,0.74985182,0.34354478,-0.09491579,0.77762753,0.25366068,-0.12441727,0.80399829,0.16978304,-0.14615552,0.65901071,0.46083108,-0.06622575,0.68168604,0.29434496,-0.10395791,0.70133299,0.18300682,-0.1341251,0.71986693,0.07843632,-0.15723063,0.60670125,0.47880003,-0.08016975,0.61618263,0.32422191,-0.11623356,0.62826717,0.21342362,-0.14142069,0.64125466,0.11080647,-0.15914465,0.55572891,0.52660406,-0.09668294,0.5432058,0.40370208,-0.13125676,0.53974754,0.31315032,-0.14924003,0.53911066,0.22348662,-0.16126274,open-hand
6,0.50824404,1.01191568,0.00000137,0.64320278,0.96989173,-0.08897711,0.75794774,0.87551606,-0.1527566,0.86427754,0.81954443,-0.21014981,0.96723413,0.7819829,-0.27360487,0.6909039,0.55798149,-0.14399292,0.76255512,0.3469972,-0.22891697,0.81242365,0.19795258,-0.29229757,0.85952497,0.06668694,-0.3388308,0.60890847,0.51150775,-0.15030873,0.65088981,0.2602579,-0.23382847,0.69086146,0.0961204,-0.30165538,0.7331171,-0.05679854,-0.35460785,0.51983374,0.53004634,-0.16282989,0.54146457,0.28409836,-0.24238089,0.56833428,0.11044539,-0.30275199,0.5982812,-0.04479653,-0.34667549,0.43057355,0.5952825,-0.1808176,0.42415658,0.40326875,-0.25153705,0.42485812,0.25898653,-0.29594979,0.43001735,0.1151699,-0.32974482,open-hand
7,0.42026922,0.8980388,0.00000091,0.52142411,0.84006208,-0.0464456,0.60904956,0.73500133,-0.07502208,0.68086904,0.66591883,-0.10242474,0.74717093,0.6308431,-0.1320114,0.54631031,0.50706422,-0.05777185,0.58978528,0.34430826,-0.10210136,0.61828834,0.23431042,-0.13685535,0.6432488,0.13006169,-0.16210151,0.48608732,0.4743067,-0.06520733,0.51108181,0.27763027,-0.10639102,0.53075588,0.13726805,-0.14086412,0.54809552,0.00293388,-0.16647761,0.42479181,0.49134147,-0.07765137,0.43483508,0.31497389,-0.1189425,0.44491804,0.19078386,-0.14777701,0.45526853,0.07193442,-0.16663003,0.36345729,0.54453778,-0.09410233,0.35224599,0.40493393,-0.13148829,0.34568426,0.30547187,-0.14947413,0.3414892,0.20540451,-0.16086167,open-hand
8,0.29867101,0.81484616,0.00000068,0.37008125,0.75084549,-0.03800815,0.42814282,0.65005267,-0.05719555,0.47680116,0.57729834,-0.07438784,0.52187628,0.5333035,-0.09231009,0.37315467,0.48026282,-0.03703068,0.39651966,0.34656388,-0.06389058,0.40958017,0.25972128,-0.08663021,0.41910717,0.17805819,-0.10383242,0.32501259,0.4651134,-0.0381516,0.33425421,0.31996036,-0.06158219,0.33800572,0.21911974,-0.08363843,0.33918807,0.12485935,-0.10089558,0.27837649,0.4847005,-0.04383815,0.27407578,0.34901002,-0.06820187,0.26968995,0.25412774,-0.08780121,0.26523986,0.16520444,-0.10154904,0.2308895,0.53077543,-0.05319631,0.21284191,0.42663679,-0.07679143,0.20001835,0.35373381,-0.08927092,0.1893183,0.2792064,-0.09753015,open-hand
9,0.25725964,0.67671996,0.00000051,0.30550581,0.61680377,-0.02627274,0.34237951,0.53213608,-0.03866932,0.3734751,0.46347049,-0.04980674,0.4019756,0.41528457,-0.06098307,0.29819164,0.41326779,-0.02162394,0.30880383,0.31082362,-0.03997808,0.31350255,0.24437353,-0.05602941,0.31641027,0.18256569,-0.06822015,0.26141927,0.40730676,-0.02252804,0.26177576,0.29865649,-0.03846317,0.26057309,0.22335379,-0.05403046,0.25858551,0.15261704,-0.06614809,0.22699593,0.42704812,-0.0269571,0.21763369,0.32719988,-0.04405436,0.21073343,0.25962752,-0.05737117,0.20491697,0.19593546,-0.06660362,0.1930888,0.466598,-0.03405248,0.17645048,0.39122415,-0.05103512,0.16456918,0.33922085,-0.05975041,0.15439035,0.28413838,-0.0652261,open-hand
